name,info
a,对象代码库文件
aac,高级音频编码(Advanced Audio Codin)
aam,Authorware shocked文件
aas,Authorware shocked包
abf,Adobe二进制屏幕字体
abk,CorelDRAW自动备份文件
abs,"该类文件有时用于指示一个摘要（就像在一篇有关科学方面的文章的一个摘要或概要,取自abstract）"
accountpicture-ms,用户头像
ace,Ace压缩文件格式
am,Windows系统目录文件
acp,Microsoft office助手预览文件
act,Microsoft office助手文件
ad,After Dark屏幕保护程序
ada,Ada源文件（非-GNAT）
adb,Ada源文件主体（GNAT）；HP100LX组织者的约定数据库
adf,Amiga磁盘文件
adi,AutoCAD设备无关二进制绘图仪格式
adm,After Dark多模块屏幕保护；Windows NT策略模板
adp,FaxWork用于传真调制解调器的交互安装文件；Astound Dynamite文件
ads,After Dark随机屏幕保护；Smart Address的地址簿
afm,Ada源文件说明书（GNAT）
"af2,af3",Adobe的字体尺度
ai,ABC的FlowChat文件
"aiaif,aiff",Adobe Illustrator格式图形
aifc,"音频互交换文件,Silicon Graphic and Macintosh应用程序的声音格式"
aim,压缩AIF
ais,AOL即时信息传送
akw,ACDSee图形序列文件；Velvet Studio设备文件
alb,RoboHELP的帮助工程中所有A-关键词
ams,艺术与书信库
anc,Velvet Studio音乐模块（MOD）文件；Extreme的Tracker模块文件
ani,"Canon Computer的调色板文件,包含一系列可选的颜色板"
ans,Windows系统中的动画光标
atn,ANSI文本文件
ant,SimAnt For Windows中保存的游戏文件
api,Adobe Acrobat使用的应用程序设计接口文件
apk,安卓安装包
aps,Microsoft Visual C++文件
ari,Aristotle声音文件
arj,Robert Jung ARJ压缩包文件
art,Xara Studio绘画文件；Canon Crayola美术文件；Clip Art文件格式；另一种光线跟踪格式；AOL使用的用Johnson-Grace压缩算法压缩的标记文件
asa,Microsoft Visual InterDev文件
asc,ASCⅡ文本文件；PGP算法加密文件
asd,"Microsoft Word的自动保存文件；Microsoft高级流媒体格式（microsoft advanced streaming format,ASF）的描述文件；可用NSREX打开 Velvet Studio例子文件"
ase,Velvet Studio采样文件
asf,Microsoft高级流媒体格式文件
asm,"汇编语言源文件,Pro,E装配文件"
aso,Astound Dynamite对象文件
asp,动态网页文件；ProComm Plus安装与连接脚本文件；Astound介绍文件
asv,DataCAD自动保存文件
asx,"Cheyenne备份脚本文件；Microsoft高级流媒体重定向器文件,视频文件"
atw,来自个人软件的Any Time Deluxe For Windows个人信息管理员文件
au,"Sun,NeXT,DEC,UNIX声音文件；音频U-Law（读作“mu-law”）文件格式"
avb,Computer Associates Inoculan反病毒软件的病毒感染后文件
avi,Microsoft Audio Video Interleave电影格式
avr,Audio Visual Research文件格式
avs,应用程序可视化格式
awd,FaxVien文档
awr,Telsis数字储存音频文件扩展名格式
axx,"ARJ压缩文件的分包序号文件,用于将一个大文件压至几个小的压缩包中（xx取01-99的数字）"
"a3m,a4m",Authorware Macintosh未打包文件
a4p,Authorware无运行时间的打包文件
"a3w,a4w,a5w",未打包的Authorware Windows文件
bak,备份文件
bas,BASIC源文件
bat,批处理文件
bdf,West Point Bridger Designer文件
bgl,Microsoft Flight Simulator（微软飞行模拟器）的视景文件
bi,二进制文件
bif,Group Wise的初始化文件
biff,XLIFE 3D格式文件
bin,二进制文件
"bk,bk$",有时用于代表备份版本
bks,IBM BookManager Read书架文件
bmk,书签文件
